id,link_name,icon_class,url
1,Facebook,icon--facebook,https://www.facebook.com/helsinginyliopisto
2,Twitter,icon--twitter,https://www.twitter.com/helsinkiuni
3,YouTube,icon--youtube,https://www.youtube.com/universityofhelsinki
4,LinkedIn,icon--linkedin,https://www.linkedin.com/company/university-of-helsinki
5,Instagram,icon--instagram,https://www.instagram.com/universityofhelsinki
