id,langcode,name
1,en,For new students
2,en,Academic year and enrolment
3,en,Planning of studies and study progress
4,en,Services for students and student rights
5,en,Student involvement
6,en,Student benefits and discounts
7,en,Financing of studies
8,en,Health care and wellbeing
9,en,Exchange
10,en,Studies and employment
11,en,Research groups and postgraduate study opportunities
13,en,Theses and graduation
