identifier,langcode,type,name
KH80_003,fi,bachelor,"Elintarviketieteiden kandiohjelma"
KH80_004,fi,bachelor,"Ympäristö- ja elintarviketalouden kandiohjelma"
MH80_001,fi,master,"Maataloustieteiden maisteriohjelma"
MH80_002,fi,master,"Maatalous-, ympäristö- ja luonnonvaraekonomian maisteriohjelma"
MH80_003,fi,master,"Metsätieteiden maisteriohjelma"
MH80_004,fi,master,"Elintarviketieteiden maisteriohjelma"
MH80_005,fi,master,"Ihmisen ravitsemuksen ja ruokakäyttäytymisen maisteriohjelma"
MH80_006,fi,master,"Elintarviketalouden ja kulutuksen maisteriohjelma"
MH80_007,fi,master,"Mikrobiologian ja mikrobibiotekniikan maisteriohjelma"
KH90_001,fi,bachelor,"Eläinlääketieteen kandiohjelma"
MH90_001,fi,master,"Eläinlääketieteen lisensiaatin koulutusohjelma"
KH10_001,sv,bachelor,"Kandidatprogrammet i teologi och religionsforskning"
MH10_001,sv,master,"Magisterprogrammet i teologi och religionsforskning"
KH20_001,sv,bachelor,"Utbildningsprogrammet för rättsnotarie"
MH20_001,sv,master,"Magisterprogrammet i rättsvetenskap"
MH20_002,sv,master,"Magisterprogrammet i internationell affärsjuridik"
KH30_001,sv,bachelor,"Kandidatprogrammet i psykologi"
KH30_002,sv,bachelor,"Kandidatprogrammet i logopedi"
MH30_001,sv,master,"Degree Programme in Medicine"
MH30_002,sv,master,"Magisterprogrammet i translat
MH30_003,sv,master,"Utbildningsprogrammet i odontologi"
MH30_004,sv,master,"Magisterprogrammet i psykologi"
MH30_005,sv,master,"Magistgerprogrammet i logopedi"
KH40_001,sv,bachelor,"Kandidatprogrammet i filosofi
KH40_002,sv,bachelor,"Kandidatprogrammet i konstforskning"
KH40_003,sv,bachelor,"Kandidatprogrammet i språk"
KH40_004,sv,bachelor,"Kandidatprogrammet i finskugriska och nordiska språk och litteraturer"
KH40_005,sv,bachelor,"Kandidatprogrammet i kulturforskning"
KH40_006,sv,bachelor,"Kandidatprogrammet i historia"
MH40_001,sv,master,"Magisterprogrammet i konstforskning"
MH40_002,sv,master,"Magisterprogrammet i språk"
MH40_004,sv,master,"Magisterprogrammet i ryska studier"
MH40_005,sv,master,"Magisterprogrammet i språklig diversitet och digitala metoder"
MH40_006,sv,master,"Magisterprogrammet i översättning och tolkning"
MH40_007,sv,master,"Magisterprogrammet i finska och finskugriska språk och kulturer"
MH40_008,sv,master,"Magisterprogrammet i nordiska språk och litteraturer"
MH40_009,sv,master,"Magisterprogrammet i litteraturvetenskap"
MH40_010,sv,master,"Magisterprogrammet i kulturarv"
MH40_011,sv,master,"Magisterprogrammet i interkulturell växelverkan"
MH40_013,sv,master,"Magisterprogrammet i kultur och kommunikation"
MH40_014,sv,master,"Magisterprogrammet i genusvetenskap"
MH40_015,sv,master,"Magisterprogrammet i histori"
KH50_001,sv,bachelor,"Kandidatprogrammet i matematiska vetenskaper"
KH50_002,sv,bachelor,"Kandidatprogrammet i fysikaliska vetenskaper"
KH50_003,sv,bachelor,"Kandidatprogrammet i kemi"
KH50_004,sv,bachelor,"Kandidatprogrammet för ämneslärare i matematik, fysik och kemi"
KH50_005,sv,bachelor,"Kandidatprogrammet i datavetenskap"
KH50_006,sv,bachelor,"Kandidatprogrammet i geovetenskap"
KH50_007,sv,bachelor,"Kandidatprogrammet i geografi"
MH50_001,sv,master,"Magisterprogrammet i matematik och statistik"
MH50_002,sv,master,"Magisterprogrammet i informatik inom livsvetenskaperna"
MH50_003,sv,master,"Magisterprogrammet i teoretiska och beräkningsmetoder"
MH50_004,sv,master,"Magisterprogrammet i elementarpartikelfysik och astrofysikaliska vetenskaper"
MH50_005,sv,master,"Magisterprogrammet i materialforskning"
MH50_006,sv,master,"Magisterprogrammet i atmosfärsvetenskaper"
MH50_007,sv,master,"Magisterprogrammet i kemi och molekylära vetenskaper"
MH50_008,sv,master,"Magisterprogrammet för ämneslärare i matematik, fysik och kemi"
MH50_009,sv,master,"Magisterprogrammet i datavetenskap"
MH50_010,sv,master,"Magisterprogrammet i data science"
MH50_011,sv,master,"Magisterprogrammet i geologi och geofysik"
MH50_012,sv,master,"Magisterprogrammet i geografi"
MH50_013,sv,master,"Magisterprogrammet i urbana studier och planering"
KH55_001,sv,bachelor,"Utbildningsprogrammet för farmaceutexamen"
MH55_001,sv,master,"Utbildningsprogrammet för provisorsexamen"
KH57_001,sv,bachelor,"Kandidatprogrammet i biologi"
KH57_002,sv,bachelor,"Kandidatprogrammet i molekylära biovetenskaper"
KH57_003,sv,bachelor,"Kandidatprogrammet i miljövetenskaper"
MH57_001,sv,master,"Magisterprogrammet i ekologi och evolutionsbiologi"
MH57_002,sv,master,"Magisterprogrammet i växtbiologi"
MH57_003,sv,master,"Magisterprogrammet i genetik och molekylära biovetenskaper"
MH57_004,sv,master,"Magisterprogrammet i neurovetenskap"
MH57_005,sv,master,"Magisterprogrammet i miljöförändringar och global hållbarhet"
KH60_001,sv,bachelor,"Kandidatprogrammet i pedagogik"
KH70_001,sv,bachelor,"Kandidatprogrammet i politik, medier och kommunikation"
KH70_002,sv,bachelor,"Kandidatprogrammet för samhälle i förändring"
KH70_003,sv,bachelor,"Kandidatprogrammet i sociala vetenskaper"
KH70_004,sv,bachelor,"Kandidatprogrammet i ekonomi"
MH70_001,sv,master,"Magisterprogrammet i filosofi"
MH70_002,sv,master,"Magisterprogrammet i politik, medier och kommunikation"
MH70_003,sv,master,"Magisterprogrammet i global politik och kommunikation"
MH70_004,sv,master,"Magisterprogrammet  för samhälle i förändring"
MH70_005,sv,master,"Magisterprogrammet i moderna samhällen"
MH70_006,sv,master,"Magisterprogrammet i Europa- och Nordenstudier"
MH70_007,sv,master,"Magisterprogrammet i samhällsvetenskaper"
MH70_008,sv,master,"Magisterprogrammet i sociala vetenskaper"
MH70_009,sv,master,"Magisterprogrammet i ekonomi"
KH74_001,sv,bachelor,"Kandidatprogrammet i samhällsvetenskaper"
KH80_001,sv,bachelor,"Kandidatprogrammet i lantbruksvetenskaper"
KH80_002,sv,bachelor,"Kandidatprogrammet i skogsvetenskaper"
KH80_003,sv,bachelor,"Kandidatprogrammet i livsmedelsvetenskaper"
KH80_004,sv,bachelor,"Kandidatprogrammet i miljö- och livsmedelsekonomi"
MH80_001,sv,master,"Magisterprogrammet i lantbruksvetenskaper"
MH80_002,sv,master,"Magisterprogrammet i lantbruks-, miljö- och naturresursekonomi"
MH80_003,sv,master,"Magisterprogrammet i skogsvetenskaper"
MH80_004,sv,master,"Magisterprogrammet i livsmedelsvetenskaper"
MH80_005,sv,master,"Magisterprogrammet i human nutrition och matbeteende"
MH80_006,sv,master,"Magisterprogrammet i livsmedelsekonomi och konsumtion"
MH80_007,sv,master,"Magisterprogrammet i mikrobiologi och mikrobibioteknik"
KH90_001,sv,bachelor,"Kandidatprogrammet i veterinärmedicin"
MH90_001,sv,master,"Utbildningsprogrammet i veterinärmedicin"
